date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000031,3.33,3.32,3.33,3.19,212991,69637091.0,4.22,0.0,0.0,0.5
2025-09-23,000031,3.3,3.15,3.31,3.1,293212,92616152.59,6.33,-5.12,-0.17,0.68
2025-09-24,000031,3.14,3.2,3.25,3.11,249493,79778082.56,4.44,1.59,0.05,0.58
2025-09-25,000031,3.2,3.24,3.29,3.17,230194,74463081.96,3.75,1.25,0.04,0.54
2025-09-26,000031,3.22,3.2,3.3,3.18,214532,69469041.28,3.7,-1.23,-0.04,0.5
2025-09-29,000031,3.2,3.27,3.28,3.13,204182,65539275.04,4.69,2.19,0.07,0.48
2025-09-30,000031,3.27,3.3,3.31,3.23,176772,58006881.45,2.45,0.92,0.03,0.41
2025-10-09,000031,3.31,3.16,3.32,3.12,344484,108985375.85,6.06,-4.24,-0.14,0.8
2025-10-10,000031,3.14,3.22,3.24,3.13,310301,99330259.54,3.48,1.9,0.06,0.72
2025-10-13,000031,3.15,3.23,3.23,3.09,250620,79533696.94,4.35,0.31,0.01,0.58
2025-10-14,000031,3.23,3.2,3.3,3.19,257917,83770643.73,3.41,-0.93,-0.03,0.6
2025-10-15,000031,3.2,3.23,3.29,3.17,215336,69460409.68,3.75,0.94,0.03,0.5
2025-10-16,000031,3.22,3.26,3.32,3.19,209869,68361701.05,4.02,0.93,0.03,0.49
2025-10-17,000031,3.25,3.22,3.38,3.21,345463,113334278.21,5.21,-1.23,-0.04,0.81
2025-10-20,000031,3.23,3.21,3.28,3.19,167107,53892984.4,2.8,-0.31,-0.01,0.39
2025-10-21,000031,3.21,3.38,3.38,3.19,335725,112060484.53,5.92,5.3,0.17,0.78
2025-10-22,000031,3.37,3.42,3.45,3.34,263349,89824791.96,3.25,1.18,0.04,0.61
2025-10-23,000031,3.45,3.37,3.46,3.3,259523,87015415.0,4.68,-1.46,-0.05,0.61
2025-10-24,000031,3.37,3.25,3.39,3.24,280217,92214567.0,4.45,-3.56,-0.12,0.65
2025-10-27,000031,3.25,3.22,3.26,3.2,216860,69881178.0,1.85,-0.92,-0.03,0.51
