date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000417,6.04,6.02,6.12,5.99,146031,88059484.32,2.14,-0.99,-0.06,1.87
2025-09-23,000417,6.01,5.91,6.01,5.78,220554,129241289.0,3.82,-1.83,-0.11,2.83
2025-09-24,000417,5.87,5.94,5.94,5.85,119673,70789878.31,1.52,0.51,0.03,1.54
2025-09-25,000417,5.95,5.87,5.95,5.85,115962,68304066.0,1.68,-1.18,-0.07,1.49
2025-09-26,000417,5.86,5.91,6.05,5.83,153330,91198306.3,3.75,0.68,0.04,1.97
2025-09-29,000417,5.9,5.92,5.93,5.78,152730,89385181.92,2.54,0.17,0.01,1.96
2025-09-30,000417,5.92,5.92,5.98,5.89,100268,59455952.38,1.52,0.0,0.0,1.29
2025-10-09,000417,5.93,6.01,6.04,5.87,154608,92187369.82,2.87,1.52,0.09,1.98
2025-10-10,000417,6.06,6.34,6.42,6.04,502059,314515972.24,6.32,5.49,0.33,6.44
2025-10-13,000417,6.43,6.97,6.97,6.37,620336,423695947.28,9.46,9.94,0.63,7.96
2025-10-14,000417,7.25,7.11,7.64,7.1,1221307,892881426.2,7.75,2.01,0.14,15.68
2025-10-15,000417,7.23,7.32,7.65,7.0,1073852,789661884.92,9.14,2.95,0.21,13.78
2025-10-16,000417,7.32,7.56,8.0,7.13,1101687,845044092.9,11.89,3.28,0.24,14.14
2025-10-17,000417,7.42,7.31,7.83,7.31,987612,742085697.3,6.88,-3.31,-0.25,12.68
2025-10-20,000417,7.45,7.21,7.46,7.16,733172,532389253.19,4.1,-1.37,-0.1,9.41
2025-10-21,000417,7.24,7.49,7.74,7.15,759401,566615338.5,8.18,3.88,0.28,9.75
2025-10-22,000417,7.38,7.8,8.22,7.3,1234028,956146792.0,12.28,4.14,0.31,15.84
2025-10-23,000417,7.86,7.38,7.98,7.24,765581,571967546.96,9.49,-5.38,-0.42,9.83
2025-10-24,000417,7.47,7.28,7.62,7.14,746005,549755239.02,6.5,-1.36,-0.1,9.58
