date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000159,5.67,5.6,5.69,5.53,133469,74483641.27,2.81,-1.58,-0.09,2.78
2025-09-23,000159,5.6,5.48,5.6,5.35,148094,80776562.62,4.46,-2.14,-0.12,3.08
2025-09-24,000159,5.52,5.62,5.63,5.48,131690,73441433.0,2.74,2.55,0.14,2.74
2025-09-25,000159,5.65,5.55,5.74,5.55,161963,91528508.39,3.38,-1.25,-0.07,3.37
2025-09-26,000159,5.55,5.59,5.64,5.51,107589,60244469.86,2.34,0.72,0.04,2.24
2025-09-29,000159,5.59,5.69,5.7,5.48,120049,67566875.0,3.94,1.79,0.1,2.5
2025-09-30,000159,5.69,5.68,5.73,5.64,81403,46304929.32,1.58,-0.18,-0.01,1.69
2025-10-09,000159,5.69,5.84,5.85,5.66,234061,135294660.33,3.35,2.82,0.16,4.87
2025-10-10,000159,5.83,5.89,5.92,5.79,182642,107412765.08,2.23,0.86,0.05,3.8
2025-10-13,000159,5.76,5.85,5.87,5.57,199895,115492879.26,5.09,-0.68,-0.04,4.16
2025-10-14,000159,5.88,5.89,5.97,5.85,201194,118930678.8,2.05,0.68,0.04,4.19
2025-10-15,000159,5.88,5.9,5.94,5.85,139822,82203301.0,1.53,0.17,0.01,2.91
2025-10-16,000159,5.91,5.84,5.92,5.8,110757,64681314.83,2.03,-1.02,-0.06,2.3
2025-10-17,000159,5.82,5.81,5.89,5.78,124623,72794786.64,1.88,-0.51,-0.03,2.59
2025-10-20,000159,5.84,5.96,5.99,5.82,236757,140699622.0,2.93,2.58,0.15,4.93
2025-10-21,000159,5.98,6.08,6.08,5.94,248893,149738814.76,2.35,2.01,0.12,5.18
2025-10-22,000159,6.11,6.19,6.21,6.06,266187,163306457.13,2.47,1.81,0.11,5.54
2025-10-23,000159,6.17,6.17,6.23,6.1,193906,119330154.56,2.1,-0.32,-0.02,4.03
2025-10-24,000159,6.17,6.08,6.19,5.99,219846,133339096.72,3.24,-1.46,-0.09,4.57
2025-10-27,000159,6.12,6.17,6.21,6.05,198550,121900446.63,2.63,1.48,0.09,4.13
2025-10-28,000159,6.13,6.14,6.19,6.11,145657,89586101.22,1.3,-0.49,-0.03,3.03
2025-10-29,000159,6.14,6.14,6.22,6.07,158911,97697943.59,2.44,0.0,0.0,3.31
2025-10-30,000159,6.14,6.06,6.16,6.03,121242,73841893.0,2.12,-1.3,-0.08,2.52
2025-10-31,000159,6.01,6.05,6.09,5.96,143649,86796265.0,2.15,-0.17,-0.01,2.99
2025-11-03,000159,6.08,6.16,6.17,6.07,164688,101037335.0,1.65,1.82,0.11,3.43
2025-11-04,000159,6.16,6.21,6.25,6.13,192428,119078562.81,1.95,0.81,0.05,4.0
2025-11-05,000159,6.21,6.3,6.31,6.15,158233,98767736.72,2.58,1.45,0.09,3.29
2025-11-06,000159,6.28,6.26,6.31,6.22,139341,87061908.0,1.43,-0.63,-0.04,2.9
2025-11-07,000159,6.27,6.36,6.44,6.27,176642,112248239.0,2.72,1.6,0.1,3.67
2025-11-10,000159,6.38,6.57,6.67,6.3,300684,196620250.43,5.82,3.3,0.21,6.26
2025-11-11,000159,6.6,6.67,6.74,6.5,258351,171670096.76,3.65,1.52,0.1,5.37
2025-11-12,000159,6.66,6.7,6.74,6.57,272946,181843811.96,2.55,0.45,0.03,5.68
2025-11-13,000159,6.69,6.7,6.81,6.58,219866,147450967.16,3.43,0.0,0.0,4.57
