date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000505,6.62,6.52,6.66,6.49,78315,51189292.0,2.55,-2.1,-0.14,1.24
2025-09-23,000505,6.54,6.44,6.54,6.33,78565,50304415.63,3.22,-1.23,-0.08,1.24
2025-09-24,000505,6.4,6.47,6.47,6.37,58841,37938647.81,1.55,0.47,0.03,0.93
2025-09-25,000505,6.43,6.4,6.48,6.38,49530,31787202.0,1.55,-1.08,-0.07,0.78
2025-09-26,000505,6.39,6.43,6.49,6.35,55626,35799737.42,2.19,0.47,0.03,0.88
2025-09-29,000505,6.12,6.11,6.25,6.0,194045,117989814.09,3.89,-4.98,-0.32,3.07
2025-09-30,000505,6.13,6.09,6.13,6.06,75079,45791842.64,1.15,-0.33,-0.02,1.19
2025-10-09,000505,6.07,6.19,6.2,6.07,83506,51282327.73,2.13,1.64,0.1,1.32
2025-10-10,000505,6.2,6.32,6.36,6.16,88591,55707068.76,3.23,2.1,0.13,1.4
2025-10-13,000505,6.28,6.33,6.5,6.25,100819,63956475.21,3.96,0.16,0.01,1.59
2025-10-14,000505,6.36,6.48,6.5,6.33,126723,81527907.3,2.69,2.37,0.15,2.0
2025-10-15,000505,6.47,6.47,6.53,6.4,69354,44805942.54,2.01,-0.15,-0.01,1.1
2025-10-16,000505,6.46,6.51,6.53,6.45,89291,57957247.78,1.24,0.62,0.04,1.41
2025-10-17,000505,6.49,6.73,6.83,6.48,298117,199644717.06,5.38,3.38,0.22,4.71
2025-10-20,000505,6.72,6.78,6.85,6.59,235527,159072392.01,3.86,0.74,0.05,3.72
2025-10-21,000505,6.76,6.83,6.85,6.67,180521,122442522.02,2.65,0.74,0.05,2.85
2025-10-22,000505,6.83,6.73,6.85,6.72,122509,83078929.0,1.9,-1.46,-0.1,1.94
2025-10-23,000505,6.76,6.88,6.97,6.7,216155,148698628.09,4.01,2.23,0.15,3.42
2025-10-24,000505,6.87,6.76,6.89,6.74,144693,98400720.81,2.18,-1.74,-0.12,2.29
2025-10-27,000505,6.6,6.55,6.65,6.42,214846,140062783.55,3.4,-3.11,-0.21,3.4
2025-10-28,000505,6.56,6.57,6.66,6.53,104190,68552108.02,1.98,0.31,0.02,1.65
2025-10-29,000505,6.64,6.82,7.12,6.54,259274,176959705.09,8.83,3.81,0.25,4.1
2025-10-30,000505,6.86,6.82,6.92,6.76,193779,132775337.36,2.35,0.0,0.0,3.06
2025-10-31,000505,6.83,6.8,6.9,6.72,143367,97491874.64,2.64,-0.29,-0.02,2.27
2025-11-03,000505,6.78,7.02,7.02,6.75,253246,175863754.54,3.97,3.24,0.22,4.0
2025-11-04,000505,6.99,7.01,7.05,6.96,186457,130453861.81,1.28,-0.14,-0.01,2.95
2025-11-05,000505,6.97,7.14,7.23,6.95,271465,194269245.35,3.99,1.85,0.13,4.29
