date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000422,13.74,13.36,13.84,13.21,303680,405772701.51,4.6,-2.55,-0.35,2.87
2025-09-23,000422,13.3,13.05,13.37,12.85,227255,296081757.65,3.89,-2.32,-0.31,2.15
2025-09-24,000422,12.99,13.23,13.24,12.92,211274,276468584.65,2.45,1.38,0.18,2.0
2025-09-25,000422,13.2,13.08,13.23,13.01,200475,262607652.92,1.66,-1.13,-0.15,1.9
2025-09-26,000422,13.07,13.21,13.42,12.95,234576,311332362.01,3.59,0.99,0.13,2.22
2025-09-29,000422,13.17,14.53,14.53,13.14,631266,876180383.23,10.52,9.99,1.32,5.97
2025-09-30,000422,14.75,14.72,15.03,14.49,753275,1112441587.17,3.72,1.31,0.19,7.12
2025-10-09,000422,14.79,14.92,15.04,14.27,606115,891879332.28,5.23,1.36,0.2,5.73
2025-10-10,000422,14.79,15.12,15.26,14.67,486428,732389164.24,3.95,1.34,0.2,4.6
2025-10-13,000422,14.37,14.97,15.03,14.37,365360,540958773.28,4.37,-0.99,-0.15,3.45
2025-10-14,000422,14.97,14.7,15.28,14.6,398856,594342047.68,4.54,-1.8,-0.27,3.77
2025-10-15,000422,14.68,14.7,14.9,14.38,318734,465370571.22,3.54,0.0,0.0,3.01
2025-10-16,000422,14.65,13.31,14.79,13.26,769529,1063997189.75,10.41,-9.46,-1.39,7.27
2025-10-17,000422,13.38,12.99,13.47,12.99,487593,644676285.67,3.61,-2.4,-0.32,4.61
2025-10-20,000422,13.18,13.19,13.43,12.93,497340,653612687.57,3.85,1.54,0.2,4.7
2025-10-21,000422,13.2,13.49,13.85,13.13,466003,627331851.16,5.46,2.27,0.3,4.41
2025-10-22,000422,13.63,13.22,13.65,13.17,384418,514412011.4,3.56,-2.0,-0.27,3.63
2025-10-23,000422,13.19,13.61,13.68,13.03,466396,624766687.51,4.92,2.95,0.39,4.41
2025-10-24,000422,13.56,13.37,13.79,13.3,357250,480854782.28,3.6,-1.76,-0.24,3.38
2025-10-27,000422,13.58,13.65,14.15,13.58,644688,894561828.34,4.26,2.09,0.28,6.09
2025-10-28,000422,13.66,13.42,13.7,13.32,342111,461706290.07,2.78,-1.68,-0.23,3.23
2025-10-29,000422,13.38,13.92,13.98,13.38,400971,550474813.87,4.47,3.73,0.5,3.79
2025-10-30,000422,13.8,13.73,13.86,13.56,299987,411404896.01,2.16,-1.36,-0.19,2.84
2025-10-31,000422,13.72,13.88,14.3,13.67,475381,666832132.59,4.59,1.09,0.15,4.49
2025-11-03,000422,13.93,14.08,14.23,13.71,386683,540567736.63,3.75,1.44,0.2,3.66
2025-11-04,000422,14.04,13.75,14.22,13.63,340123,472237891.62,4.19,-2.34,-0.33,3.22
2025-11-05,000422,13.58,14.19,14.38,13.4,606934,847440453.25,7.13,3.2,0.44,5.74
2025-11-06,000422,14.19,15.13,15.32,14.15,1038261,1547641251.84,8.25,6.62,0.94,9.82
2025-11-07,000422,15.0,15.33,15.63,14.94,972286,1488700471.07,4.56,1.32,0.2,9.19
2025-11-10,000422,15.6,15.82,16.45,15.5,1099123,1758838435.7,6.2,3.2,0.49,10.39
2025-11-11,000422,15.78,15.91,16.18,15.69,619627,988190730.84,3.1,0.57,0.09,5.86
2025-11-12,000422,15.78,15.4,15.82,15.11,592878,907999781.8,4.46,-3.21,-0.51,5.6
2025-11-13,000422,15.4,16.04,16.34,15.4,706466,1130020892.75,6.1,4.16,0.64,6.68
2025-11-14,000422,15.81,15.92,16.19,15.7,513677,820098733.22,3.05,-0.75,-0.12,4.86
2025-11-17,000422,15.96,15.86,16.29,15.72,492524,785288567.07,3.58,-0.38,-0.06,4.66
2025-11-18,000422,15.78,15.72,16.67,15.56,698129,1115055848.47,7.0,-0.88,-0.14,6.6
2025-11-19,000422,15.66,15.98,16.43,15.63,591091,943706062.54,5.09,1.65,0.26,5.59
2025-11-20,000422,15.98,16.27,17.07,15.68,949842,1564553465.92,8.7,1.81,0.29,8.98
2025-11-21,000422,15.8,15.13,16.27,15.12,816090,1266036024.06,7.07,-7.01,-1.14,7.71
2025-11-24,000422,15.33,14.66,15.34,14.44,525617,774785170.99,5.95,-3.11,-0.47,4.97
2025-11-25,000422,14.76,14.74,14.93,14.45,519425,762260994.97,3.27,0.55,0.08,4.91
2025-11-26,000422,14.7,14.48,14.91,14.46,388455,568000936.61,3.05,-1.76,-0.26,3.67
2025-11-27,000422,14.51,14.62,15.01,14.5,402453,593613660.31,3.52,0.97,0.14,3.8
2025-11-28,000422,14.59,15.18,15.6,14.53,709360,1068183495.14,7.32,3.83,0.56,6.71
2025-12-01,000422,15.19,14.88,15.32,14.82,422720,633864484.59,3.29,-1.98,-0.3,4.0
2025-12-02,000422,14.82,14.61,14.82,14.5,305526,446085084.88,2.15,-1.81,-0.27,2.89
2025-12-03,000422,14.63,14.57,14.85,14.48,360357,528018676.89,2.53,-0.27,-0.04,3.41
2025-12-04,000422,14.5,14.15,14.57,14.03,348369,496361694.33,3.71,-2.88,-0.42,3.29
2025-12-05,000422,14.17,14.46,14.51,14.06,271535,388856683.64,3.18,2.19,0.31,2.57
2025-12-08,000422,14.43,14.23,14.51,14.11,312724,444713517.84,2.77,-1.59,-0.23,2.96
2025-12-09,000422,14.18,13.81,14.18,13.78,341057,473764752.08,2.81,-2.95,-0.42,3.22
2025-12-10,000422,13.8,13.94,14.0,13.61,255338,352203464.09,2.82,0.94,0.13,2.41
2025-12-11,000422,14.02,14.08,14.65,13.96,524236,751628557.28,4.95,1.0,0.14,4.96
2025-12-12,000422,14.08,13.98,14.24,13.9,246839,346002930.09,2.41,-0.71,-0.1,2.33
2025-12-15,000422,13.86,14.08,14.18,13.78,254639,356855622.4,2.86,0.72,0.1,2.41
2025-12-16,000422,13.95,13.57,14.07,13.51,254564,347466814.45,3.98,-3.62,-0.51,2.41
2025-12-17,000422,13.62,13.96,13.99,13.56,259231,357226064.87,3.17,2.87,0.39,2.45
2025-12-18,000422,13.86,14.0,14.22,13.75,263111,369716528.13,3.37,0.29,0.04,2.49
2025-12-19,000422,13.95,14.17,14.21,13.95,224577,316976581.29,1.86,1.21,0.17,2.12
2025-12-22,000422,14.2,14.22,14.39,14.11,220608,313907963.86,1.98,0.35,0.05,2.09
2025-12-23,000422,14.2,14.31,14.49,14.12,338316,484717750.24,2.6,0.63,0.09,3.2
2025-12-24,000422,14.24,14.31,14.39,14.17,254341,363060754.99,1.54,0.0,0.0,2.4
2025-12-25,000422,14.31,14.41,14.53,14.14,277300,398559107.18,2.73,0.7,0.1,2.62
2025-12-26,000422,14.48,14.63,14.7,14.36,419148,610927153.03,2.36,1.53,0.22,3.96
2025-12-29,000422,14.64,14.21,14.65,14.18,371817,532404730.68,3.21,-2.87,-0.42,3.51
2025-12-30,000422,14.1,14.54,14.74,13.92,374476,540241021.21,5.77,2.32,0.33,3.54
2025-12-31,000422,14.47,14.21,14.48,14.18,266603,380463276.18,2.06,-2.27,-0.33,2.52
2026-01-05,000422,14.25,14.53,14.65,14.25,375008,544649688.77,2.81,2.25,0.32,3.55
2026-01-06,000422,14.55,15.09,15.15,14.48,616391,919782853.96,4.61,3.85,0.56,5.83
2026-01-07,000422,15.15,14.97,15.24,14.92,442504,665970638.14,2.12,-0.8,-0.12,4.18
