date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000009,10.42,10.21,10.51,10.16,284277,291243611.05,3.38,-1.45,-0.15,1.1
2025-09-23,000009,10.21,10.29,10.43,10.02,447455,456845116.19,4.02,0.78,0.08,1.74
2025-09-24,000009,10.21,11.32,11.32,10.13,982855,1073487011.58,11.56,10.01,1.03,3.82
2025-09-25,000009,11.56,12.08,12.28,11.56,2183141,2637727208.99,6.36,6.71,0.76,8.47
2025-09-26,000009,12.18,11.69,12.22,11.65,1084768,1293289900.46,4.72,-3.23,-0.39,4.21
2025-09-29,000009,11.76,12.02,12.3,11.61,1400339,1687662137.52,5.9,2.82,0.33,5.44
2025-09-30,000009,12.62,12.46,12.79,12.27,1368491,1717241084.39,4.33,3.66,0.44,5.31
2025-10-09,000009,12.57,12.29,12.75,12.24,957494,1188274204.98,4.09,-1.36,-0.17,3.72
2025-10-10,000009,12.46,12.15,12.53,12.08,851769,1047064744.57,3.66,-1.14,-0.14,3.31
2025-10-13,000009,11.66,11.89,11.99,11.66,692807,820221341.71,2.72,-2.14,-0.26,2.69
2025-10-14,000009,11.97,11.42,12.06,11.32,713385,832117360.92,6.22,-3.95,-0.47,2.77
2025-10-15,000009,11.43,11.6,11.64,11.23,533488,612849812.28,3.59,1.58,0.18,2.07
2025-10-16,000009,11.57,11.46,11.71,11.41,357156,411406716.49,2.59,-1.21,-0.14,1.39
2025-10-17,000009,11.45,10.8,11.5,10.75,536537,593094956.16,6.54,-5.76,-0.66,2.08
2025-10-20,000009,10.95,10.86,10.98,10.75,335124,364291123.23,2.13,0.56,0.06,1.3
2025-10-21,000009,10.9,10.94,11.08,10.81,425397,465216635.44,2.49,0.74,0.08,1.65
2025-10-22,000009,10.88,10.73,10.88,10.62,260773,279825384.74,2.38,-1.92,-0.21,1.01
2025-10-23,000009,10.92,11.01,11.2,10.82,730199,803643936.25,3.54,2.61,0.28,2.83
2025-10-24,000009,10.99,10.97,11.08,10.83,450992,494086704.05,2.27,-0.36,-0.04,1.75
2025-10-27,000009,11.08,10.89,11.1,10.8,435289,475902200.14,2.73,-0.73,-0.08,1.69
2025-10-28,000009,10.86,10.8,10.94,10.75,361652,392290654.2,1.74,-0.83,-0.09,1.4
2025-10-29,000009,10.75,11.22,11.24,10.72,510421,564044669.04,4.81,3.89,0.42,1.98
2025-10-30,000009,11.23,11.17,11.43,11.12,517625,583129791.37,2.76,-0.45,-0.05,2.01
2025-10-31,000009,11.06,11.46,11.7,11.03,830839,953012436.61,6.0,2.6,0.29,3.23
2025-11-03,000009,11.4,11.19,11.4,10.95,536368,596661875.65,3.93,-2.36,-0.27,2.08
2025-11-04,000009,11.18,10.9,11.22,10.8,379450,416601289.13,3.75,-2.59,-0.29,1.47
2025-11-05,000009,10.65,10.97,11.2,10.64,490369,539752606.03,5.14,0.64,0.07,1.9
2025-11-06,000009,11.0,10.95,11.1,10.83,324729,355647565.85,2.46,-0.18,-0.02,1.26
2025-11-07,000009,10.87,11.19,11.3,10.78,574509,638567534.27,4.75,2.19,0.24,2.23
2025-11-10,000009,11.29,11.25,11.49,11.13,533595,602559530.27,3.22,0.54,0.06,2.07
2025-11-11,000009,11.25,11.32,11.5,11.16,435679,493432822.38,3.02,0.62,0.07,1.69
2025-11-12,000009,11.25,11.01,11.26,10.85,485929,533663278.28,3.62,-2.74,-0.31,1.89
2025-11-13,000009,11.01,11.39,11.58,11.01,756442,860699666.45,5.18,3.45,0.38,2.94
2025-11-14,000009,11.3,11.17,11.42,11.14,469719,528155708.51,2.46,-1.93,-0.22,1.82
2025-11-17,000009,11.18,11.43,11.9,11.04,949751,1084879626.79,7.7,2.33,0.26,3.69
2025-11-18,000009,11.44,11.08,11.56,10.97,800900,895511976.95,5.16,-3.06,-0.35,3.11
2025-11-19,000009,11.01,11.03,11.35,10.9,565176,625430932.83,4.06,-0.45,-0.05,2.19
2025-11-20,000009,11.09,10.93,11.27,10.85,527930,582661609.99,3.81,-0.91,-0.1,2.05
2025-11-21,000009,10.72,10.02,10.78,10.02,681765,701486867.3,6.95,-8.33,-0.91,2.65
2025-11-24,000009,10.2,9.91,10.23,9.77,375486,372814752.31,4.59,-1.1,-0.11,1.46
2025-11-25,000009,10.02,10.08,10.14,9.9,332482,334032856.13,2.42,1.72,0.17,1.29
2025-11-26,000009,10.04,9.89,10.09,9.87,315967,314294832.6,2.18,-1.88,-0.19,1.23
2025-11-27,000009,9.89,10.12,10.35,9.88,434995,441947052.16,4.75,2.33,0.23,1.69
2025-11-28,000009,10.12,10.12,10.17,10.01,243394,245763780.13,1.58,0.0,0.0,0.94
2025-12-01,000009,10.17,10.24,10.63,10.17,469222,485948155.91,4.55,1.19,0.12,1.82
2025-12-02,000009,10.21,10.11,10.21,10.0,253930,255922276.62,2.05,-1.27,-0.13,0.99
2025-12-03,000009,10.1,10.05,10.16,9.99,228328,229702941.89,1.68,-0.59,-0.06,0.89
2025-12-04,000009,10.04,10.0,10.09,9.92,162659,162497092.75,1.69,-0.5,-0.05,0.63
2025-12-05,000009,9.99,10.25,10.3,9.9,315915,320860401.82,4.0,2.5,0.25,1.23
2025-12-08,000009,10.25,10.39,10.46,10.15,307687,316790017.61,3.02,1.37,0.14,1.19
2025-12-09,000009,10.33,10.26,10.39,10.21,225538,232195299.27,1.73,-1.25,-0.13,0.88
2025-12-10,000009,10.24,10.29,10.4,10.12,220654,226427262.1,2.73,0.29,0.03,0.86
2025-12-11,000009,10.3,10.22,10.34,10.21,179267,184051754.39,1.26,-0.68,-0.07,0.7
2025-12-12,000009,10.16,10.29,10.35,10.13,310747,318841313.38,2.15,0.68,0.07,1.21
2025-12-15,000009,10.34,10.04,10.49,10.01,380128,386746000.13,4.66,-2.43,-0.25,1.48
2025-12-16,000009,10.04,9.8,10.06,9.67,344530,337381798.52,3.88,-2.39,-0.24,1.34
2025-12-17,000009,9.83,9.94,9.97,9.74,244008,240483507.37,2.35,1.43,0.14,0.95
2025-12-18,000009,9.86,9.79,9.96,9.77,191565,188847432.41,1.91,-1.51,-0.15,0.74
2025-12-19,000009,9.84,9.94,9.99,9.8,184210,182658552.38,1.94,1.53,0.15,0.72
2025-12-22,000009,9.95,10.03,10.15,9.94,204009,204962890.17,2.11,0.91,0.09,0.79
2025-12-23,000009,10.02,10.03,10.18,9.95,227618,228708228.17,2.29,0.0,0.0,0.88
2025-12-24,000009,10.03,10.14,10.21,10.01,264634,267776055.97,1.99,1.1,0.11,1.03
2025-12-25,000009,10.07,10.12,10.17,10.02,176322,177861374.24,1.48,-0.2,-0.02,0.68
2025-12-26,000009,10.2,10.16,10.28,10.14,287468,293428305.87,1.38,0.4,0.04,1.12
