date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000158,23.79,23.97,24.31,23.7,540618,1297376728.73,2.58,1.57,0.37,3.4
2025-09-23,000158,23.84,23.08,23.84,22.77,717937,1658295787.89,4.46,-3.71,-0.89,4.52
2025-09-24,000158,22.92,23.43,23.58,22.75,476722,1105964192.73,3.6,1.52,0.35,3.0
2025-09-25,000158,23.2,23.42,23.88,23.13,484467,1141885422.79,3.2,-0.04,-0.01,3.05
2025-09-26,000158,23.29,22.64,23.29,22.64,493030,1129224032.21,2.78,-3.33,-0.78,3.1
2025-09-29,000158,22.73,22.75,22.96,22.42,325376,737699308.13,2.39,0.49,0.11,2.05
2025-09-30,000158,22.85,22.83,23.06,22.76,323047,739457926.88,1.32,0.35,0.08,2.03
2025-10-09,000158,22.76,23.17,23.25,22.7,439698,1013124712.01,2.41,1.49,0.34,2.77
2025-10-10,000158,23.0,22.62,23.01,22.59,410455,933608712.69,1.81,-2.37,-0.55,2.58
2025-10-13,000158,21.71,22.77,23.23,21.56,469612,1060966049.89,7.38,0.66,0.15,2.96
2025-10-14,000158,22.64,22.22,22.9,22.2,386145,870439059.9,3.07,-2.42,-0.55,2.43
2025-10-15,000158,22.26,22.34,22.38,21.87,262603,583286734.94,2.3,0.54,0.12,1.65
2025-10-16,000158,22.29,24.57,24.57,21.8,1536534,3625389485.68,12.4,9.98,2.23,9.68
2025-10-17,000158,24.29,24.4,26.48,23.82,2646385,6650930345.47,10.83,-0.69,-0.17,16.67
2025-10-20,000158,24.19,25.13,26.0,24.15,1884654,4720495353.8,7.58,2.99,0.73,11.87
2025-10-21,000158,24.8,24.63,24.93,23.9,1458936,3561705657.71,4.1,-1.99,-0.5,9.19
2025-10-22,000158,24.4,24.11,24.89,23.75,1347239,3252491223.46,4.63,-2.11,-0.52,8.48
2025-10-23,000158,23.88,23.44,24.5,23.06,1007187,2378327476.52,5.97,-2.78,-0.67,6.34
2025-10-24,000158,23.16,23.26,23.57,23.16,659049,1537773612.86,1.75,-0.77,-0.18,4.15
2025-10-27,000158,23.5,24.1,24.56,23.33,1193881,2859452096.11,5.29,3.61,0.84,7.52
2025-10-28,000158,23.85,23.86,24.19,23.6,824516,1964568898.8,2.45,-1.0,-0.24,5.19
2025-10-29,000158,23.5,23.43,23.63,23.05,837504,1948892449.34,2.43,-1.8,-0.43,5.27
2025-10-30,000158,23.35,22.67,23.35,22.63,750779,1721873372.76,3.07,-3.24,-0.76,4.73
2025-10-31,000158,22.67,23.04,23.27,22.67,536885,1236452455.32,2.65,1.63,0.37,3.38
2025-11-03,000158,23.13,23.72,23.8,22.88,807694,1892796698.55,3.99,2.95,0.68,5.09
2025-11-04,000158,23.5,23.8,23.98,23.35,732680,1735730732.77,2.66,0.34,0.08,4.61
2025-11-05,000158,23.35,23.79,24.18,23.2,693559,1642587659.06,4.12,-0.04,-0.01,4.37
2025-11-06,000158,23.79,23.59,23.89,23.35,506064,1191001780.11,2.27,-0.84,-0.2,3.19
2025-11-07,000158,23.39,22.9,23.4,22.9,553871,1279095709.85,2.12,-2.92,-0.69,3.49
2025-11-10,000158,22.85,23.29,23.6,22.85,507269,1176919257.28,3.28,1.7,0.39,3.19
2025-11-11,000158,23.2,22.75,23.24,22.73,452641,1037731495.1,2.19,-2.32,-0.54,2.85
