date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000049,26.89,26.45,27.3,26.18,128367,340629956.57,4.19,-0.94,-0.25,3.34
2025-09-23,000049,26.48,26.31,26.99,25.72,149866,394363196.72,4.8,-0.53,-0.14,3.9
2025-09-24,000049,25.95,26.95,26.97,25.86,158093,419670949.2,4.22,2.43,0.64,4.11
2025-09-25,000049,26.7,26.74,27.0,26.64,124969,334791681.99,1.34,-0.78,-0.21,3.25
2025-09-26,000049,26.6,26.57,27.13,26.55,126716,340326386.93,2.17,-0.64,-0.17,3.3
2025-09-29,000049,26.86,27.65,28.1,26.86,231466,636061784.69,4.67,4.06,1.08,6.02
2025-09-30,000049,27.59,27.91,28.72,27.48,239427,671962436.21,4.48,0.94,0.26,6.23
2025-10-09,000049,28.46,29.23,29.58,28.23,277907,805961556.44,4.84,4.73,1.32,7.23
2025-10-10,000049,29.06,27.7,29.06,27.66,209382,588657786.91,4.79,-5.23,-1.53,5.45
2025-10-13,000049,26.31,27.43,27.45,26.17,125923,339180021.86,4.62,-0.97,-0.27,3.27
2025-10-14,000049,27.84,27.42,28.2,27.0,120365,332270390.66,4.37,-0.04,-0.01,3.13
2025-10-15,000049,27.4,27.81,27.88,26.5,112406,305132012.95,5.03,1.42,0.39,2.92
2025-10-16,000049,27.65,27.39,28.78,27.37,122285,343407441.99,5.07,-1.51,-0.42,3.18
2025-10-17,000049,27.78,26.06,27.78,26.0,112389,299634462.91,6.5,-4.86,-1.33,2.92
2025-10-20,000049,26.33,26.7,27.16,26.28,83767,223786446.96,3.38,2.46,0.64,2.18
2025-10-21,000049,26.8,27.43,28.18,26.58,124116,340361980.68,5.99,2.73,0.73,3.23
2025-10-22,000049,27.37,26.65,27.38,26.51,86051,229875786.84,3.17,-2.84,-0.78,2.24
2025-10-23,000049,26.6,27.06,27.1,26.01,78785,209215247.9,4.09,1.54,0.41,2.05
2025-10-24,000049,27.1,27.4,27.46,27.0,87042,237450942.16,1.7,1.26,0.34,2.26
2025-10-27,000049,27.68,27.22,27.75,27.1,88225,241354599.46,2.37,-0.66,-0.18,2.29
2025-10-28,000049,27.08,27.36,27.49,26.83,87064,236899061.35,2.42,0.51,0.14,2.26
2025-10-29,000049,27.43,28.37,28.5,27.4,171115,480451964.6,4.02,3.69,1.01,4.45
2025-10-30,000049,28.26,28.39,28.85,27.94,153570,435446069.31,3.21,0.07,0.02,3.99
2025-10-31,000049,28.37,28.1,29.08,28.09,144622,413338216.21,3.49,-1.02,-0.29,3.76
2025-11-03,000049,28.09,27.83,28.18,27.16,103410,285208961.76,3.63,-0.96,-0.27,2.69
2025-11-04,000049,27.72,27.33,28.04,27.07,78780,216328957.52,3.49,-1.8,-0.5,2.05
2025-11-05,000049,26.9,28.22,28.35,26.73,141948,395691411.3,5.93,3.26,0.89,3.69
2025-11-06,000049,28.11,28.25,28.3,27.84,85660,240821049.19,1.63,0.11,0.03,2.23
2025-11-07,000049,28.13,28.53,28.9,27.93,132665,378707699.88,3.43,0.99,0.28,3.45
2025-11-10,000049,28.69,28.14,28.87,27.8,118301,334665164.34,3.75,-1.37,-0.39,3.08
2025-11-11,000049,28.35,28.2,28.65,28.12,94181,267366378.36,1.88,0.21,0.06,2.45
2025-11-12,000049,28.0,28.03,28.58,27.5,88940,248946937.51,3.83,-0.6,-0.17,2.31
2025-11-13,000049,28.03,29.45,29.65,27.98,256648,748579674.18,5.96,5.07,1.42,6.67
