date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000409,11.66,11.67,11.77,11.61,63231,73775477.15,1.37,0.09,0.01,1.49
2025-09-23,000409,11.82,11.37,11.82,11.26,119898,136762349.85,4.8,-2.57,-0.3,2.83
2025-09-24,000409,11.34,11.52,11.54,11.24,94756,108163126.29,2.64,1.32,0.15,2.24
2025-09-25,000409,11.53,11.46,11.69,11.46,94402,109015665.94,2.0,-0.52,-0.06,2.23
2025-09-26,000409,11.44,11.21,11.44,11.2,95896,108129562.57,2.09,-2.18,-0.25,2.27
2025-09-29,000409,11.22,11.21,11.28,11.05,92214,103106227.54,2.05,0.0,0.0,2.18
2025-09-30,000409,11.22,11.24,11.33,11.21,68875,77584210.63,1.07,0.27,0.03,1.63
2025-10-09,000409,11.24,11.38,11.39,11.23,90814,102960782.53,1.42,1.25,0.14,2.15
2025-10-10,000409,11.37,11.28,11.37,11.25,76948,86880883.0,1.05,-0.88,-0.1,1.82
2025-10-13,000409,11.0,11.32,11.33,10.68,110693,122731145.2,5.76,0.35,0.04,2.61
2025-10-14,000409,11.35,11.13,11.39,11.1,98720,110888622.56,2.56,-1.68,-0.19,2.33
2025-10-15,000409,11.15,11.25,11.25,11.02,69505,77585507.23,2.07,1.08,0.12,1.64
2025-10-16,000409,11.27,11.2,11.29,11.1,63136,70563047.64,1.69,-0.44,-0.05,1.49
2025-10-17,000409,11.15,10.91,11.2,10.91,75930,83962977.64,2.59,-2.59,-0.29,1.79
2025-10-20,000409,10.99,11.01,11.06,10.97,51213,56408459.22,0.82,0.92,0.1,1.21
2025-10-21,000409,11.02,11.32,11.35,11.01,98348,110290918.35,3.09,2.82,0.31,2.32
2025-10-22,000409,11.33,11.29,11.54,11.27,101242,115447299.71,2.39,-0.27,-0.03,2.39
2025-10-23,000409,11.25,11.36,11.4,11.18,70304,79124413.1,1.95,0.62,0.07,1.66
2025-10-24,000409,11.37,11.36,11.4,11.32,64018,72705051.89,0.7,0.0,0.0,1.51
2025-10-27,000409,11.36,11.4,11.43,11.24,103129,116941717.26,1.67,0.35,0.04,2.44
2025-10-28,000409,11.3,11.51,11.58,11.28,125603,143684969.87,2.63,0.96,0.11,2.97
2025-10-29,000409,11.48,11.36,11.48,11.31,78884,89626187.59,1.48,-1.3,-0.15,1.86
2025-10-30,000409,11.32,11.21,11.35,11.2,76634,86224822.82,1.32,-1.32,-0.15,1.81
