date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000004,10.91,10.56,10.91,10.42,51170,54339718.8,4.48,-3.39,-0.37,4.05
2025-09-23,000004,10.48,10.21,10.5,10.03,51503,52473837.49,4.45,-3.31,-0.35,4.08
2025-09-24,000004,10.52,10.65,10.72,10.38,80611,85636133.8,3.33,4.31,0.44,6.38
2025-09-25,000004,10.45,10.48,10.55,10.22,60615,62969556.48,3.1,-1.6,-0.17,4.8
2025-09-26,000004,10.45,10.48,10.54,10.12,45222,46695269.12,4.01,0.0,0.0,3.58
2025-09-29,000004,10.45,10.59,10.74,10.23,40747,42832039.0,4.87,1.05,0.11,3.23
2025-09-30,000004,11.12,11.12,11.12,11.12,10673,11868731.84,0.0,5.0,0.53,0.85
2025-10-09,000004,11.68,11.68,11.68,11.68,8187,9562416.0,0.0,5.04,0.56,0.65
2025-10-10,000004,11.8,12.26,12.26,11.69,162582,196172384.89,4.88,4.97,0.58,12.87
2025-10-13,000004,12.2,12.87,12.87,11.84,62829,78447631.28,8.4,4.98,0.61,4.98
2025-10-14,000004,13.51,13.35,13.51,12.82,141487,187171303.52,5.36,3.73,0.48,11.2
2025-10-15,000004,13.33,12.87,13.89,12.71,141703,187107516.36,8.84,-3.6,-0.48,11.22
2025-10-16,000004,12.66,12.88,13.25,12.63,106706,138367674.6,4.82,0.08,0.01,8.45
2025-10-17,000004,12.61,12.24,12.79,12.24,88721,109968575.0,4.27,-4.97,-0.64,7.03
2025-10-20,000004,12.43,12.85,12.85,12.4,58048,73219720.62,3.68,4.98,0.61,4.6
2025-10-21,000004,13.23,12.87,13.47,12.74,90870,118674060.0,5.68,0.16,0.02,7.2
2025-10-22,000004,12.98,13.14,13.2,12.78,60540,78762829.74,3.26,2.1,0.27,4.79
2025-10-23,000004,13.4,13.8,13.8,13.1,110080,149978040.54,5.33,5.02,0.66,8.72
2025-10-24,000004,13.8,13.44,13.98,13.25,108414,145956906.55,5.29,-2.61,-0.36,8.58
2025-10-27,000004,13.4,13.36,13.55,13.12,65929,87652772.38,3.2,-0.6,-0.08,5.22
2025-10-28,000004,13.3,12.77,13.3,12.7,96694,125455629.12,4.49,-4.42,-0.59,7.66
2025-10-29,000004,12.73,12.61,13.01,12.48,49296,62589806.0,4.15,-1.25,-0.16,3.9
2025-10-30,000004,12.61,12.65,13.24,12.52,80238,103150349.64,5.71,0.32,0.04,6.35
2025-10-31,000004,12.02,12.28,12.41,12.02,101922,123557910.3,3.08,-2.92,-0.37,8.07
2025-11-03,000004,12.26,12.89,12.89,12.03,93421,117622080.61,7.0,4.97,0.61,7.4
2025-11-04,000004,13.0,12.88,13.2,12.7,85883,111113533.95,3.88,-0.08,-0.01,6.8
2025-11-05,000004,13.2,13.33,13.52,12.95,129399,173235648.93,4.43,3.49,0.45,10.25
2025-11-06,000004,12.95,12.66,13.0,12.66,62990,80512689.4,2.55,-5.03,-0.67,4.99
2025-11-07,000004,12.22,12.43,12.64,12.06,88778,108859549.85,4.58,-1.82,-0.23,7.03
2025-11-10,000004,12.43,11.98,12.48,11.84,86968,105299683.59,5.15,-3.62,-0.45,6.89
2025-11-11,000004,12.04,11.97,12.1,11.78,48468,57777786.0,2.67,-0.08,-0.01,3.84
2025-11-12,000004,11.9,11.94,11.96,11.47,64355,75264777.22,4.09,-0.25,-0.03,5.1
2025-11-13,000004,11.81,11.5,11.89,11.45,64606,75662806.0,3.69,-3.69,-0.44,5.12
2025-11-14,000004,11.46,11.61,11.77,11.41,43136,50100567.0,3.13,0.96,0.11,3.42
2025-11-17,000004,11.71,11.35,11.73,11.18,54166,61864248.0,4.74,-2.24,-0.26,4.29
2025-11-18,000004,11.45,11.64,11.92,11.45,82918,97790667.92,4.14,2.56,0.29,6.57
2025-11-19,000004,11.46,11.18,11.46,11.07,58419,65693801.03,3.35,-3.95,-0.46,4.63
2025-11-20,000004,11.09,11.09,11.18,10.86,38761,42713969.2,2.86,-0.81,-0.09,3.07
2025-11-21,000004,10.95,10.54,10.99,10.54,53887,57419193.0,4.06,-4.96,-0.55,4.27
2025-11-24,000004,10.55,10.75,10.93,10.35,29917,31917836.0,5.5,1.99,0.21,2.37
2025-11-25,000004,10.74,10.82,11.02,10.72,27439,29885139.99,2.79,0.65,0.07,2.17
2025-11-26,000004,10.8,10.68,10.95,10.64,25462,27515155.0,2.87,-1.29,-0.14,2.02
2025-11-27,000004,10.7,11.21,11.21,10.66,26951,29909088.0,5.15,4.96,0.53,2.13
2025-11-28,000004,11.57,11.77,11.77,11.41,101322,117942205.0,3.21,5.0,0.56,8.02
2025-12-01,000004,11.93,12.36,12.36,11.78,92745,113410422.0,4.93,5.01,0.59,7.34
2025-12-02,000004,12.43,11.99,12.59,11.86,65911,79681653.5,5.91,-2.99,-0.37,5.22
2025-12-03,000004,11.94,11.66,12.28,11.56,54945,64850222.96,6.01,-2.75,-0.33,4.35
2025-12-04,000004,11.73,11.42,11.84,11.36,32837,37703208.35,4.12,-2.06,-0.24,2.6
2025-12-05,000004,11.38,11.6,11.6,11.18,27668,31587961.0,3.68,1.58,0.18,2.19
2025-12-08,000004,11.72,11.35,11.82,11.3,35809,41051452.86,4.48,-2.16,-0.25,2.84
2025-12-09,000004,11.35,11.37,11.53,11.29,20756,23705692.0,2.11,0.18,0.02,1.64
2025-12-10,000004,11.36,11.94,11.94,11.2,63742,75144333.36,6.51,5.01,0.57,5.05
2025-12-11,000004,11.34,11.34,11.54,11.34,59199,67178857.0,1.68,-5.03,-0.6,4.69
2025-12-12,000004,11.17,10.91,11.36,10.82,45190,49905507.84,4.76,-3.79,-0.43,3.58
2025-12-15,000004,10.8,10.82,11.05,10.68,21549,23476587.4,3.39,-0.82,-0.09,1.71
2025-12-16,000004,10.82,10.43,10.92,10.3,27770,29166422.96,5.73,-3.6,-0.39,2.2
2025-12-17,000004,10.36,10.2,10.43,9.91,47551,47696976.44,4.99,-2.21,-0.23,3.77
2025-12-18,000004,10.2,10.43,10.65,10.18,23291,24432488.34,4.61,2.25,0.23,1.84
2025-12-19,000004,10.4,10.57,10.62,10.34,14060,14728224.0,2.68,1.34,0.14,1.11
2025-12-22,000004,10.58,10.59,10.74,10.51,15778,16783751.0,2.18,0.19,0.02,1.25
2025-12-23,000004,10.59,10.28,10.85,10.12,28691,29906685.0,6.89,-2.93,-0.31,2.27
2025-12-24,000004,10.32,10.58,10.76,10.16,22633,23840123.0,5.84,2.92,0.3,1.79
2025-12-25,000004,10.58,10.92,10.92,10.58,26841,28998835.82,3.21,3.21,0.34,2.13
2025-12-26,000004,10.91,10.89,10.99,10.73,21412,23217643.9,2.38,-0.27,-0.03,1.7
2025-12-29,000004,10.9,10.88,11.2,10.71,27590,30271050.0,4.5,-0.09,-0.01,2.18
2025-12-30,000004,10.84,11.27,11.41,10.73,40997,45564673.56,6.25,3.58,0.39,3.25
2025-12-31,000004,11.3,11.08,11.35,11.07,18056,20248567.0,2.48,-1.69,-0.19,1.43
2026-01-05,000004,11.08,10.93,11.08,10.73,37856,41148291.56,3.16,-1.35,-0.15,3.0
2026-01-06,000004,10.93,10.97,11.15,10.9,25967,28615306.08,2.29,0.37,0.04,2.06
2026-01-07,000004,10.97,10.65,11.0,10.58,25585,27467906.0,3.83,-2.92,-0.32,2.03
2026-01-08,000004,10.6,10.41,10.73,10.38,36706,38560313.8,3.29,-2.25,-0.24,2.91
2026-01-09,000004,10.43,10.58,10.67,10.43,23825,25140936.15,2.31,1.63,0.17,1.89
2026-01-12,000004,10.55,10.61,10.68,10.46,31789,33619299.0,2.08,0.28,0.03,2.52
2026-01-13,000004,10.62,11.14,11.14,10.52,54818,60363402.0,5.84,5.0,0.53,4.34
2026-01-14,000004,11.14,11.4,11.58,11.01,58607,66666074.44,5.12,2.33,0.26,4.64
2026-01-15,000004,11.3,10.9,11.64,10.89,42137,46918711.0,6.58,-4.39,-0.5,3.34
2026-01-16,000004,11.0,11.14,11.45,10.96,61578,69453813.45,4.5,2.2,0.24,4.88
2026-01-19,000004,10.87,10.91,11.11,10.58,56602,61113837.71,4.76,-2.06,-0.23,4.48
2026-01-20,000004,10.84,11.4,11.4,10.81,36466,40925496.0,5.41,4.49,0.49,2.89
