date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000034,45.66,45.62,46.08,44.84,436701,1995950488.51,2.75,1.04,0.47,7.26
2025-09-23,000034,45.95,44.03,46.32,43.08,458014,2033226732.98,7.1,-3.49,-1.59,7.61
2025-09-24,000034,43.5,45.08,45.87,43.1,387654,1724009266.68,6.29,2.38,1.05,6.44
2025-09-25,000034,45.11,46.64,47.29,45.11,672598,3126177696.63,4.84,3.46,1.56,11.18
2025-09-26,000034,46.01,44.65,46.15,44.65,408796,1853572460.65,3.22,-4.27,-1.99,6.8
2025-09-29,000034,44.55,44.48,45.02,43.86,243152,1080355455.29,2.6,-0.38,-0.17,4.04
2025-09-30,000034,44.86,44.85,45.36,44.63,241495,1085671017.87,1.64,0.83,0.37,4.0
2025-10-09,000034,45.12,46.06,46.23,44.81,385769,1765069451.59,3.17,2.7,1.21,6.39
2025-10-10,000034,45.65,43.86,45.65,43.75,339099,1508650951.02,4.13,-4.78,-2.2,5.61
2025-10-13,000034,39.47,40.65,41.57,39.47,475488,1929949457.03,4.79,-7.32,-3.21,7.87
2025-10-14,000034,40.94,38.6,41.09,38.57,384937,1530417252.57,6.2,-5.04,-2.05,6.37
2025-10-15,000034,38.61,39.35,39.57,37.88,201590,782933969.93,4.38,1.94,0.75,3.34
2025-10-16,000034,39.18,39.55,39.8,38.68,185184,724695982.33,2.85,0.51,0.2,3.07
2025-10-17,000034,39.29,37.83,39.29,37.68,174576,670012495.94,4.07,-4.35,-1.72,2.89
2025-10-20,000034,38.5,38.18,38.77,37.9,111710,428375861.11,2.3,0.93,0.35,1.85
2025-10-21,000034,38.28,38.92,39.11,38.14,155337,601991049.14,2.54,1.94,0.74,2.57
2025-10-22,000034,38.72,39.12,39.5,38.46,142642,557730572.08,2.67,0.51,0.2,2.36
2025-10-23,000034,39.38,39.09,39.39,38.2,115006,444911252.69,3.04,-0.08,-0.03,1.9
2025-10-24,000034,39.21,39.45,39.56,39.21,184982,728499065.33,0.9,0.92,0.36,3.06
2025-10-27,000034,39.55,39.48,40.05,39.21,193767,767058734.83,2.13,0.08,0.03,3.21
2025-10-28,000034,39.3,40.36,40.36,39.08,253641,1009167057.11,3.24,2.23,0.88,4.2
2025-10-29,000034,40.37,42.95,44.4,40.33,908850,3924683363.44,10.08,6.42,2.59,15.04
2025-10-30,000034,42.02,41.14,42.07,40.6,576091,2380952389.56,3.42,-4.21,-1.81,9.53
2025-10-31,000034,41.0,43.03,43.88,40.66,537190,2287963528.29,7.83,4.59,1.89,8.88
2025-11-03,000034,42.8,43.49,44.33,42.6,441375,1921674599.08,4.02,1.07,0.46,7.3
2025-11-04,000034,43.23,42.07,43.59,41.81,316851,1348595660.59,4.09,-3.27,-1.42,5.24
2025-11-05,000034,41.11,42.87,43.25,41.1,318709,1349630096.82,5.11,1.9,0.8,5.27
2025-11-06,000034,42.8,44.88,44.9,42.32,577006,2526323687.65,6.02,4.69,2.01,9.54
2025-11-07,000034,44.12,44.18,44.7,43.7,399005,1759109021.95,2.23,-1.56,-0.7,6.6
2025-11-10,000034,45.01,44.9,46.8,44.17,516179,2340507119.66,5.95,1.63,0.72,8.54
2025-11-11,000034,44.85,45.05,46.18,43.4,643862,2900359845.9,6.19,0.33,0.15,10.65
2025-11-12,000034,44.41,44.19,44.6,43.0,425007,1859049712.47,3.55,-1.91,-0.86,7.03
2025-11-13,000034,43.84,43.38,44.43,42.72,348327,1512523981.06,3.87,-1.83,-0.81,5.76
2025-11-14,000034,43.21,43.66,44.95,42.86,359716,1584015458.68,4.82,0.65,0.28,5.95
2025-11-17,000034,44.32,44.87,45.55,44.16,408959,1834027424.74,3.18,2.77,1.21,6.76
2025-11-18,000034,44.68,43.63,45.16,43.51,256637,1136117105.07,3.68,-2.76,-1.24,4.24
2025-11-19,000034,43.83,42.35,43.94,42.02,218357,933497811.19,4.4,-2.93,-1.28,3.61
2025-11-20,000034,42.8,42.04,43.27,41.85,167318,707324964.51,3.35,-0.73,-0.31,2.77
2025-11-21,000034,41.56,40.02,41.94,39.8,215527,874663714.64,5.09,-4.8,-2.02,3.56
2025-11-24,000034,40.35,40.5,41.07,39.27,174969,702875513.12,4.5,1.2,0.48,2.89
2025-11-25,000034,40.75,40.31,41.73,40.25,183512,751424291.55,3.65,-0.47,-0.19,3.03
2025-11-26,000034,40.19,39.99,41.3,39.91,198199,804296804.02,3.45,-0.79,-0.32,3.28
2025-11-27,000034,40.39,39.53,40.59,39.45,198702,794185073.05,2.85,-1.15,-0.46,3.29
2025-11-28,000034,39.46,39.72,39.83,39.21,127777,505167408.52,1.57,0.48,0.19,2.11
2025-12-01,000034,39.72,41.27,42.5,39.44,337308,1390035410.16,7.7,3.9,1.55,5.58
2025-12-02,000034,41.51,41.13,42.24,40.89,207260,857823368.33,3.27,-0.34,-0.14,3.43
2025-12-03,000034,41.06,39.01,41.06,38.83,303219,1200389006.16,5.42,-5.15,-2.12,5.01
2025-12-04,000034,38.88,39.1,39.1,38.35,127194,493793110.01,1.92,0.23,0.09,2.1
2025-12-05,000034,39.15,39.09,39.19,38.22,152596,591207208.26,2.48,-0.03,-0.01,2.52
2025-12-08,000034,39.12,39.53,40.13,39.12,156798,620113495.87,2.58,1.13,0.44,2.59
2025-12-09,000034,40.12,39.41,41.0,39.33,175995,703193499.47,4.22,-0.3,-0.12,2.91
2025-12-10,000034,39.01,39.2,39.39,38.65,126638,493171635.54,1.88,-0.53,-0.21,2.09
2025-12-11,000034,39.21,38.45,39.22,38.41,120670,466803133.09,2.07,-1.91,-0.75,2.0
2025-12-12,000034,38.4,38.75,38.87,38.28,95952,370813280.8,1.53,0.78,0.3,1.59
2025-12-15,000034,38.38,38.11,38.66,38.05,91657,350926949.71,1.57,-1.65,-0.64,1.52
2025-12-16,000034,38.09,37.0,38.09,36.79,131808,490044903.13,3.41,-2.91,-1.11,2.18
2025-12-17,000034,37.03,37.69,37.89,36.75,109537,408543338.87,3.08,1.86,0.69,1.81
2025-12-18,000034,37.37,37.44,38.0,37.28,80894,305025695.55,1.91,-0.66,-0.25,1.34
2025-12-19,000034,37.46,37.86,37.97,37.46,80133,303005471.24,1.36,1.12,0.42,1.33
2025-12-22,000034,37.86,37.79,38.3,37.73,139991,532034780.53,1.51,-0.18,-0.07,2.31
2025-12-23,000034,37.83,37.66,38.45,37.58,233012,883647209.53,2.3,-0.34,-0.13,3.85
2025-12-24,000034,37.68,38.22,38.29,37.54,145783,553992034.5,1.99,1.49,0.56,2.41
2025-12-25,000034,38.08,38.45,38.65,38.0,139922,537982510.81,1.7,0.6,0.23,2.31
2025-12-26,000034,38.45,38.44,38.92,38.21,156463,603910495.85,1.85,-0.03,-0.01,2.59
2025-12-29,000034,40.21,39.24,40.88,38.99,316966,1262696173.57,4.92,2.08,0.8,5.24
2025-12-30,000034,39.19,39.28,40.15,39.0,176924,698445013.24,2.93,0.1,0.04,2.93
2025-12-31,000034,39.28,38.91,39.49,38.83,136944,535005645.43,1.68,-0.94,-0.37,2.26
2026-01-05,000034,39.0,39.57,39.58,38.82,160004,629862368.82,1.95,1.7,0.66,2.65
2026-01-06,000034,39.62,39.96,39.99,39.35,211627,841114209.13,1.62,0.99,0.39,3.5
2026-01-07,000034,40.1,39.57,40.18,39.44,193457,768302956.91,1.85,-0.98,-0.39,3.2
2026-01-08,000034,39.49,40.23,40.88,39.44,316350,1275510984.57,3.64,1.67,0.66,5.23
2026-01-09,000034,40.05,41.1,41.11,39.93,291865,1186691631.75,2.93,2.16,0.87,4.83
2026-01-12,000034,41.4,42.4,42.48,41.12,415737,1748826233.87,3.31,3.16,1.3,6.87
2026-01-13,000034,42.58,40.83,42.61,40.76,330210,1371014069.73,4.36,-3.7,-1.57,5.46
2026-01-14,000034,41.35,41.88,42.68,41.08,391978,1644135491.66,3.92,2.57,1.05,6.48
2026-01-15,000034,42.06,41.72,42.58,41.4,264406,1108231699.46,2.82,-0.38,-0.16,4.37
2026-01-16,000034,41.5,41.12,41.89,40.22,287377,1179263476.2,4.0,-1.44,-0.6,4.75
2026-01-19,000034,40.86,40.39,41.08,40.22,191046,774640845.24,2.09,-1.78,-0.73,3.16
2026-01-20,000034,40.39,39.66,40.68,39.44,150820,602977865.37,3.07,-1.81,-0.73,2.49
