date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000402,3.16,3.15,3.17,3.04,519622,161749291.98,4.08,-1.25,-0.04,1.74
2025-09-23,000402,3.14,2.99,3.14,2.94,639989,192283338.76,6.35,-5.08,-0.16,2.14
2025-09-24,000402,3.0,3.04,3.09,2.96,483027,146881248.91,4.35,1.67,0.05,1.62
2025-09-25,000402,3.04,2.98,3.05,2.98,365651,109760187.59,2.3,-1.97,-0.06,1.22
2025-09-26,000402,2.98,3.0,3.09,2.96,406773,122863324.4,4.36,0.67,0.02,1.36
2025-09-29,000402,3.0,3.04,3.06,2.93,367249,109998588.64,4.33,1.33,0.04,1.23
2025-09-30,000402,3.04,3.07,3.09,3.0,421894,129039875.12,2.96,0.99,0.03,1.41
2025-10-09,000402,3.07,3.04,3.08,2.94,503491,150810773.82,4.56,-0.98,-0.03,1.68
2025-10-10,000402,3.02,3.06,3.1,3.01,490668,150266211.33,2.96,0.66,0.02,1.64
2025-10-13,000402,2.98,3.02,3.03,2.95,342925,102590060.91,2.61,-1.31,-0.04,1.15
2025-10-14,000402,3.04,3.05,3.16,3.04,606206,187869779.95,3.97,0.99,0.03,2.03
2025-10-15,000402,3.06,3.05,3.11,3.02,358010,109543849.49,2.95,0.0,0.0,1.2
2025-10-16,000402,3.05,3.0,3.06,2.98,364694,109820755.4,2.62,-1.64,-0.05,1.22
2025-10-17,000402,3.0,3.01,3.18,2.99,949325,292870291.09,6.33,0.33,0.01,3.18
2025-10-20,000402,3.02,3.04,3.07,2.99,533722,161801640.26,2.66,1.0,0.03,1.79
2025-10-21,000402,3.03,3.13,3.14,3.0,708816,219939191.74,4.61,2.96,0.09,2.37
2025-10-22,000402,3.11,3.22,3.25,3.11,806904,258364328.61,4.47,2.88,0.09,2.7
2025-10-23,000402,3.23,3.18,3.24,3.12,480271,152100932.13,3.73,-1.24,-0.04,1.61
2025-10-24,000402,3.18,3.08,3.19,3.08,581338,180726349.76,3.46,-3.14,-0.1,1.95
2025-10-27,000402,3.09,3.06,3.1,3.05,416196,127691426.86,1.62,-0.65,-0.02,1.39
2025-10-28,000402,3.06,3.04,3.08,3.03,342858,104807985.82,1.63,-0.65,-0.02,1.15
2025-10-29,000402,3.04,3.06,3.07,3.0,337211,102125329.64,2.3,0.66,0.02,1.13
2025-10-30,000402,3.05,3.0,3.06,3.0,360990,109119261.14,1.96,-1.96,-0.06,1.21
2025-10-31,000402,3.02,3.02,3.05,3.0,287831,86965421.1,1.67,0.67,0.02,0.96
2025-11-03,000402,3.02,3.02,3.03,2.99,310658,93267178.32,1.32,0.0,0.0,1.04
2025-11-04,000402,3.02,3.02,3.04,2.99,340597,102587376.65,1.66,0.0,0.0,1.14
2025-11-05,000402,3.01,3.04,3.05,2.99,264544,80117160.94,1.99,0.66,0.02,0.89
2025-11-06,000402,3.04,3.02,3.05,3.01,221099,66758773.11,1.32,-0.66,-0.02,0.74
2025-11-07,000402,3.02,3.0,3.04,3.0,240271,72396236.55,1.32,-0.66,-0.02,0.8
2025-11-10,000402,3.01,3.07,3.08,2.99,489255,148995651.64,3.0,2.33,0.07,1.64
2025-11-11,000402,3.07,3.13,3.15,3.06,504820,157045371.81,2.93,1.95,0.06,1.69
2025-11-12,000402,3.12,3.11,3.15,3.08,294310,91418520.93,2.24,-0.64,-0.02,0.98
2025-11-13,000402,3.1,3.17,3.17,3.06,457722,143463308.24,3.54,1.93,0.06,1.53
2025-11-14,000402,3.15,3.19,3.24,3.14,464228,148961472.63,3.15,0.63,0.02,1.55
2025-11-17,000402,3.18,3.22,3.23,3.16,342512,109826296.9,2.19,0.94,0.03,1.15
2025-11-18,000402,3.21,3.1,3.22,3.05,637314,197633196.84,5.28,-3.73,-0.12,2.13
2025-11-19,000402,3.09,3.02,3.11,3.01,399298,121372931.86,3.23,-2.58,-0.08,1.34
2025-11-20,000402,3.03,3.05,3.13,2.98,625775,190290818.19,4.97,0.99,0.03,2.09
2025-11-21,000402,3.03,2.96,3.08,2.96,492253,148366274.66,3.93,-2.95,-0.09,1.65
2025-11-24,000402,2.98,2.94,3.02,2.93,436079,129623026.44,3.04,-0.68,-0.02,1.46
2025-11-25,000402,2.95,2.93,2.96,2.91,470282,137782404.2,1.7,-0.34,-0.01,1.57
