date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000048,16.91,17.09,17.4,16.91,138106,236026188.16,2.92,1.97,0.33,2.62
2025-09-23,000048,17.0,16.88,17.09,16.73,99514,168249805.71,2.11,-1.23,-0.21,1.89
2025-09-24,000048,16.92,16.89,17.1,16.71,148004,250388269.59,2.31,0.06,0.01,2.81
2025-09-25,000048,16.86,17.0,17.04,16.77,138560,234442310.76,1.6,0.65,0.11,2.63
2025-09-26,000048,17.0,16.85,17.04,16.69,241339,407777306.63,2.06,-0.88,-0.15,4.59
2025-09-29,000048,16.8,16.15,16.8,16.11,176937,290935337.82,4.09,-4.15,-0.7,3.36
2025-09-30,000048,16.3,16.26,16.37,15.99,107845,174825681.39,2.35,0.68,0.11,2.05
2025-10-09,000048,16.29,16.82,16.86,16.15,166307,275755508.19,4.37,3.44,0.56,3.16
2025-10-10,000048,16.8,16.83,16.95,16.62,124655,209458976.16,1.96,0.06,0.01,2.37
2025-10-13,000048,16.53,16.87,16.98,16.34,268560,451236996.09,3.8,0.24,0.04,5.1
2025-10-14,000048,17.0,16.85,17.13,16.52,280676,474330480.65,3.62,-0.12,-0.02,5.33
2025-10-15,000048,16.77,16.88,16.99,16.69,193203,325656579.63,1.78,0.18,0.03,3.67
2025-10-16,000048,16.8,16.89,16.95,16.64,136786,230884074.48,1.84,0.06,0.01,2.6
2025-10-17,000048,16.84,16.81,16.9,16.62,124824,209470854.56,1.66,-0.47,-0.08,2.37
2025-10-20,000048,16.82,16.82,16.9,16.71,90074,151337841.81,1.13,0.06,0.01,1.71
2025-10-21,000048,16.75,16.95,17.26,16.73,186069,315456237.73,3.15,0.77,0.13,3.54
2025-10-22,000048,16.94,16.98,17.09,16.8,156839,265964380.5,1.71,0.18,0.03,2.98
2025-10-23,000048,17.0,16.94,17.0,16.41,197325,332236418.8,3.47,-0.24,-0.04,3.75
2025-10-24,000048,17.0,17.03,17.55,16.9,479388,824421952.03,3.84,0.53,0.09,9.11
2025-10-27,000048,16.82,17.0,17.1,16.6,266058,450050336.75,2.94,-0.18,-0.03,5.05
2025-10-28,000048,16.99,16.75,17.0,16.45,237778,395825921.66,3.24,-1.47,-0.25,4.52
