date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000019,6.7,6.64,6.73,6.59,65352,43326088.57,2.09,-1.04,-0.07,1.57
2025-09-23,000019,6.63,6.57,6.64,6.47,97670,63879431.38,2.56,-1.05,-0.07,2.35
2025-09-24,000019,6.55,6.6,6.62,6.52,64059,42197676.99,1.52,0.46,0.03,1.54
2025-09-25,000019,6.6,6.51,6.61,6.5,69238,45305813.93,1.67,-1.36,-0.09,1.66
2025-09-26,000019,6.51,6.57,6.59,6.48,63344,41466148.96,1.69,0.92,0.06,1.52
2025-09-29,000019,6.56,6.54,6.56,6.45,64817,42166579.28,1.67,-0.46,-0.03,1.56
2025-09-30,000019,6.54,6.53,6.55,6.52,39622,25903314.37,0.46,-0.15,-0.01,0.95
2025-10-09,000019,6.53,6.6,6.62,6.5,81274,53451651.83,1.84,1.07,0.07,1.95
2025-10-10,000019,6.58,6.75,6.76,6.56,127707,85455688.07,3.03,2.27,0.15,3.07
2025-10-13,000019,6.7,6.73,6.88,6.68,105895,71356192.81,2.96,-0.3,-0.02,2.54
2025-10-14,000019,6.73,6.88,6.88,6.71,143918,98217378.42,2.53,2.23,0.15,3.46
2025-10-15,000019,6.85,6.84,6.92,6.77,101976,69776221.85,2.18,-0.58,-0.04,2.45
2025-10-16,000019,6.83,6.81,6.85,6.78,65684,44718264.06,1.02,-0.44,-0.03,1.58
2025-10-17,000019,6.78,6.85,6.9,6.78,84187,57657374.05,1.76,0.59,0.04,2.02
2025-10-20,000019,6.86,6.83,6.88,6.77,66582,45319573.45,1.61,-0.29,-0.02,1.6
2025-10-21,000019,6.83,6.9,6.92,6.8,90790,62353720.8,1.76,1.02,0.07,2.18
2025-10-22,000019,6.89,6.94,6.97,6.87,76409,52998962.0,1.45,0.58,0.04,1.84
2025-10-23,000019,7.06,7.63,7.63,6.99,554691,416417258.16,9.22,9.94,0.69,13.33
2025-10-24,000019,7.33,7.14,7.4,7.11,698711,502163202.57,3.8,-6.42,-0.49,16.79
2025-10-27,000019,7.1,7.05,7.12,6.99,346744,243991869.7,1.82,-1.26,-0.09,8.33
2025-10-28,000019,7.01,6.98,7.04,6.93,246797,171987107.56,1.56,-0.99,-0.07,5.93
2025-10-29,000019,6.93,6.99,7.02,6.9,177915,124006528.57,1.72,0.14,0.01,4.27
2025-10-30,000019,6.94,6.95,6.99,6.9,148236,102976794.38,1.29,-0.57,-0.04,3.56
2025-10-31,000019,6.95,6.98,6.98,6.92,143917,99985689.5,0.86,0.43,0.03,3.46
2025-11-03,000019,6.95,6.98,6.98,6.92,133381,92662520.02,0.86,0.0,0.0,3.2
2025-11-04,000019,6.96,7.04,7.04,6.94,176056,123208445.68,1.43,0.86,0.06,4.23
2025-11-05,000019,7.0,7.07,7.07,6.97,169551,119135131.3,1.42,0.43,0.03,4.07
2025-11-06,000019,7.05,7.12,7.2,7.03,261508,186221523.67,2.4,0.71,0.05,6.28
2025-11-07,000019,7.12,7.04,7.18,7.02,183895,129956094.8,2.25,-1.12,-0.08,4.42
2025-11-10,000019,7.09,7.1,7.1,7.0,138745,97993623.0,1.42,0.85,0.06,3.33
2025-11-11,000019,7.1,7.19,7.19,7.06,198995,142257165.56,1.83,1.27,0.09,4.78
2025-11-12,000019,7.17,7.3,7.5,7.15,328277,239708913.1,4.87,1.53,0.11,7.89
2025-11-13,000019,7.3,7.28,7.31,7.19,186379,135007500.75,1.64,-0.27,-0.02,4.48
2025-11-14,000019,7.26,7.26,7.32,7.23,144137,104772292.99,1.24,-0.27,-0.02,3.46
2025-11-17,000019,7.26,7.32,7.35,7.22,167014,122034376.59,1.79,0.83,0.06,4.01
2025-11-18,000019,7.3,7.21,7.32,7.15,172619,124446777.44,2.32,-1.5,-0.11,4.15
2025-11-19,000019,7.23,7.3,7.37,7.15,167560,121457472.38,3.05,1.25,0.09,4.03
2025-11-20,000019,7.31,7.39,7.5,7.15,314419,230450398.71,4.79,1.23,0.09,7.55
2025-11-21,000019,7.29,7.46,7.8,7.26,591540,447599143.06,7.31,0.95,0.07,14.21
2025-11-24,000019,7.45,7.71,7.88,7.45,505688,387247023.4,5.76,3.35,0.25,12.15
2025-11-25,000019,7.56,7.53,7.61,7.3,486579,360546501.55,4.02,-2.33,-0.18,11.69
2025-11-26,000019,7.39,7.35,7.68,7.26,376345,277817082.47,5.58,-2.39,-0.18,9.04
2025-11-27,000019,7.3,7.09,7.33,7.06,265623,189644416.13,3.67,-3.54,-0.26,6.38
2025-11-28,000019,7.16,7.2,7.2,7.01,195409,139223838.78,2.68,1.55,0.11,4.69
2025-12-01,000019,7.19,7.16,7.23,7.1,159483,114051427.58,1.81,-0.56,-0.04,3.83
2025-12-02,000019,7.12,7.32,7.35,7.05,236929,171341165.2,4.19,2.23,0.16,5.69
2025-12-03,000019,7.32,7.23,7.33,7.18,142914,103364785.5,2.05,-1.23,-0.09,3.43
2025-12-04,000019,7.19,7.03,7.22,7.0,156340,110574568.8,3.04,-2.77,-0.2,3.76
2025-12-05,000019,7.06,7.16,7.19,6.98,124783,88661300.8,2.99,1.85,0.13,3.0
2025-12-08,000019,7.13,7.19,7.2,7.11,110802,79319502.6,1.26,0.42,0.03,2.66
2025-12-09,000019,7.18,7.13,7.22,7.02,120631,85976802.99,2.78,-0.83,-0.06,2.9
2025-12-10,000019,7.11,7.23,7.28,7.09,182436,131306994.0,2.66,1.4,0.1,4.38
2025-12-11,000019,7.25,7.0,7.27,6.99,185891,131307303.4,3.87,-3.18,-0.23,4.47
2025-12-12,000019,6.97,6.85,7.03,6.83,140519,97017018.24,2.86,-2.14,-0.15,3.38
2025-12-15,000019,6.82,6.94,6.96,6.81,81497,56312381.25,2.19,1.31,0.09,1.96
2025-12-16,000019,6.9,6.98,7.08,6.9,134974,94402628.4,2.59,0.58,0.04,3.24
2025-12-17,000019,6.92,6.83,6.97,6.72,125213,85137058.01,3.58,-2.15,-0.15,3.01
2025-12-18,000019,6.8,6.89,6.93,6.78,70962,48839820.3,2.2,0.88,0.06,1.7
