date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000042,8.23,8.1,8.23,8.04,39732,32231985.0,2.32,-1.22,-0.1,0.6
2025-09-23,000042,8.04,7.83,8.09,7.72,127721,100075425.0,4.57,-3.33,-0.27,1.92
2025-09-24,000042,7.78,7.9,8.02,7.74,74503,58947619.0,3.58,0.89,0.07,1.12
2025-09-25,000042,7.9,7.8,7.9,7.75,66724,52075721.0,1.9,-1.27,-0.1,1.0
2025-09-26,000042,7.8,7.81,7.95,7.75,63169,49555420.0,2.56,0.13,0.01,0.95
2025-09-29,000042,7.82,7.94,7.95,7.69,74592,58544690.82,3.33,1.66,0.13,1.12
2025-09-30,000042,7.94,7.97,8.01,7.9,50202,40006466.08,1.39,0.38,0.03,0.76
2025-10-09,000042,7.99,8.09,8.2,7.84,92382,74324117.4,4.52,1.51,0.12,1.39
2025-10-10,000042,8.13,8.39,8.47,8.13,81765,68437177.0,4.2,3.71,0.3,1.23
2025-10-13,000042,8.18,8.16,8.22,8.06,67416,55052318.64,1.91,-2.74,-0.23,1.02
2025-10-14,000042,8.16,7.99,8.22,7.98,57095,46212432.2,2.94,-2.08,-0.17,0.86
2025-10-15,000042,7.99,8.0,8.08,7.94,38414,30725980.16,1.75,0.13,0.01,0.58
2025-10-16,000042,8.0,7.95,8.02,7.91,40783,32483905.0,1.38,-0.63,-0.05,0.61
2025-10-17,000042,7.93,7.77,8.0,7.75,54869,43053382.68,3.14,-2.26,-0.18,0.83
2025-10-20,000042,7.84,7.86,7.9,7.82,44849,35214002.0,1.03,1.16,0.09,0.68
2025-10-21,000042,7.86,8.19,8.43,7.82,96365,78458899.0,7.76,4.2,0.33,1.45
2025-10-22,000042,8.22,8.2,8.3,8.17,56544,46548225.0,1.59,0.12,0.01,0.85
2025-10-23,000042,8.26,8.18,8.3,8.09,47944,39085491.0,2.56,-0.24,-0.02,0.72
2025-10-24,000042,8.19,8.04,8.2,8.0,51798,41860021.0,2.44,-1.71,-0.14,0.78
2025-10-27,000042,8.04,7.97,8.1,7.82,87865,69634467.46,3.48,-0.87,-0.07,1.32
2025-10-28,000042,7.88,7.92,8.06,7.79,61234,48322926.0,3.39,-0.63,-0.05,0.92
2025-10-29,000042,7.91,7.81,7.93,7.78,52034,40685746.0,1.89,-1.39,-0.11,0.78
2025-10-30,000042,7.81,7.67,7.81,7.66,54842,42328547.0,1.92,-1.79,-0.14,0.83
2025-10-31,000042,7.7,7.74,7.77,7.68,39221,30311759.0,1.17,0.91,0.07,0.59
2025-11-03,000042,7.79,7.71,7.79,7.66,23293,17922459.0,1.68,-0.39,-0.03,0.35
2025-11-04,000042,7.72,7.78,7.82,7.7,36573,28379793.0,1.56,0.91,0.07,0.55
2025-11-05,000042,7.72,7.82,7.88,7.71,39211,30652811.8,2.19,0.51,0.04,0.59
2025-11-06,000042,7.86,7.78,7.86,7.74,23881,18586928.46,1.53,-0.51,-0.04,0.36
2025-11-07,000042,7.79,8.02,8.19,7.73,103656,83038059.45,5.91,3.08,0.24,1.56
2025-11-10,000042,7.99,7.98,7.99,7.86,54245,42922524.2,1.62,-0.5,-0.04,0.82
2025-11-11,000042,8.0,8.07,8.12,7.96,56152,45285251.64,2.01,1.13,0.09,0.85
2025-11-12,000042,8.15,8.12,8.18,8.07,46279,37567244.0,1.36,0.62,0.05,0.7
2025-11-13,000042,8.15,8.19,8.23,8.05,45446,37181931.0,2.22,0.86,0.07,0.68
2025-11-14,000042,8.19,8.23,8.32,8.16,48376,40002023.92,1.95,0.49,0.04,0.73
2025-11-17,000042,8.24,8.2,8.24,8.13,43116,35253497.68,1.34,-0.36,-0.03,0.65
2025-11-18,000042,8.2,8.01,8.23,7.95,65926,53188562.22,3.41,-2.32,-0.19,0.99
2025-11-19,000042,8.02,7.8,8.06,7.77,52594,41303795.0,3.62,-2.62,-0.21,0.79
2025-11-20,000042,7.82,7.87,7.92,7.68,57518,44944587.0,3.08,0.9,0.07,0.87
