date,股票代码,open,close,high,low,volume,amount,amplitude,change_pct,change_amount,turnover
2025-09-22,000059,5.22,5.14,5.22,5.11,189649,97597002.13,2.11,-1.53,-0.08,1.19
2025-09-23,000059,5.15,5.06,5.15,4.97,209272,105421181.94,3.5,-1.56,-0.08,1.31
2025-09-24,000059,5.08,5.15,5.21,5.06,155926,80296509.32,2.96,1.78,0.09,0.97
2025-09-25,000059,5.15,5.12,5.24,5.11,134499,69453373.2,2.52,-0.58,-0.03,0.84
2025-09-26,000059,5.12,5.16,5.23,5.1,170653,88395767.0,2.54,0.78,0.04,1.07
2025-09-29,000059,5.16,5.13,5.17,5.02,164301,83699700.0,2.91,-0.58,-0.03,1.03
2025-09-30,000059,5.13,5.12,5.16,5.09,106792,54774534.0,1.36,-0.19,-0.01,0.67
2025-10-09,000059,5.13,5.13,5.15,5.09,156181,79947449.0,1.17,0.2,0.01,0.98
2025-10-10,000059,5.12,5.19,5.22,5.08,233669,120538553.1,2.73,1.17,0.06,1.46
2025-10-13,000059,5.1,5.13,5.14,5.0,213623,108521142.24,2.7,-1.16,-0.06,1.34
2025-10-14,000059,5.14,5.13,5.21,5.08,184913,95003151.0,2.53,0.0,0.0,1.16
2025-10-15,000059,5.12,5.15,5.16,5.09,151357,77598656.21,1.36,0.39,0.02,0.95
2025-10-16,000059,5.14,5.09,5.15,5.08,134313,68604957.08,1.36,-1.17,-0.06,0.84
2025-10-17,000059,5.12,5.02,5.16,5.01,178409,90717517.0,2.95,-1.38,-0.07,1.12
2025-10-20,000059,5.04,5.09,5.11,5.03,148906,75562295.96,1.59,1.39,0.07,0.93
2025-10-21,000059,5.09,5.17,5.21,5.06,263032,135608772.23,2.95,1.57,0.08,1.64
2025-10-22,000059,5.17,5.17,5.2,5.14,138130,71410527.0,1.16,0.0,0.0,0.86
2025-10-23,000059,5.14,5.16,5.17,5.09,137956,70679553.32,1.55,-0.19,-0.01,0.86
2025-10-24,000059,5.16,5.08,5.17,5.07,199525,101841830.1,1.94,-1.55,-0.08,1.25
2025-10-27,000059,5.11,5.07,5.12,5.06,153670,78055086.99,1.18,-0.2,-0.01,0.96
2025-10-28,000059,5.08,5.1,5.14,5.06,158737,81181013.0,1.58,0.59,0.03,0.99
2025-10-29,000059,5.09,5.18,5.2,5.08,235929,121685829.92,2.35,1.57,0.08,1.48
2025-10-30,000059,5.15,5.12,5.18,5.07,231429,118295837.0,2.12,-1.16,-0.06,1.45
2025-10-31,000059,5.11,5.08,5.13,5.07,139946,71298840.16,1.17,-0.78,-0.04,0.87
2025-11-03,000059,5.08,5.13,5.14,5.04,154643,78863739.61,1.97,0.98,0.05,0.97
2025-11-04,000059,5.14,5.11,5.14,5.07,130592,66613313.33,1.36,-0.39,-0.02,0.82
2025-11-05,000059,5.1,5.15,5.21,5.08,250736,129618243.84,2.54,0.78,0.04,1.57
2025-11-06,000059,5.17,5.18,5.2,5.11,161791,83574525.22,1.75,0.58,0.03,1.01
2025-11-07,000059,5.18,5.26,5.35,5.17,337458,178259328.12,3.47,1.54,0.08,2.11
2025-11-10,000059,5.3,5.28,5.31,5.22,179554,94659214.9,1.71,0.38,0.02,1.12
2025-11-11,000059,5.28,5.34,5.35,5.24,196519,104440489.76,2.08,1.14,0.06,1.23
2025-11-12,000059,5.34,5.39,5.45,5.28,254270,136500804.7,3.18,0.94,0.05,1.59
2025-11-13,000059,5.37,5.5,5.52,5.33,321845,175798461.39,3.53,2.04,0.11,2.01
2025-11-14,000059,5.5,5.45,5.56,5.45,229677,126055611.7,2.0,-0.91,-0.05,1.44
2025-11-17,000059,5.47,5.49,5.54,5.43,259967,142669272.67,2.02,0.73,0.04,1.63
2025-11-18,000059,5.48,5.36,5.49,5.3,239459,128419969.99,3.46,-2.37,-0.13,1.5
2025-11-19,000059,5.38,5.39,5.41,5.32,178784,95955867.62,1.68,0.56,0.03,1.12
2025-11-20,000059,5.38,5.33,5.39,5.3,149958,80159952.09,1.67,-1.11,-0.06,0.94
2025-11-21,000059,5.31,5.05,5.32,5.04,355123,182100213.46,5.25,-5.25,-0.28,2.22
2025-11-24,000059,5.08,5.1,5.16,5.03,225800,115138047.96,2.57,0.99,0.05,1.41
2025-11-25,000059,5.12,5.09,5.13,5.07,156727,79862610.0,1.18,-0.2,-0.01,0.98
2025-11-26,000059,5.07,5.05,5.12,5.05,152399,77363123.02,1.38,-0.79,-0.04,0.95
2025-11-27,000059,5.06,5.07,5.12,5.05,115736,58769587.74,1.39,0.4,0.02,0.72
2025-11-28,000059,5.08,5.27,5.32,5.06,316569,164672858.65,5.13,3.94,0.2,1.98
2025-12-01,000059,5.27,5.21,5.3,5.19,214885,112809510.42,2.09,-1.14,-0.06,1.34
2025-12-02,000059,5.21,5.18,5.25,5.16,172618,89719054.52,1.73,-0.58,-0.03,1.08
2025-12-03,000059,5.17,5.18,5.21,5.12,151363,78200978.18,1.74,0.0,0.0,0.95
2025-12-04,000059,5.18,5.13,5.18,5.1,125660,64485167.12,1.54,-0.97,-0.05,0.79
2025-12-05,000059,5.14,5.19,5.21,5.13,137777,71439528.64,1.56,1.17,0.06,0.86
2025-12-08,000059,5.2,5.13,5.21,5.13,150869,77745722.13,1.54,-1.16,-0.06,0.94
2025-12-09,000059,5.15,5.08,5.16,5.05,173946,88534027.01,2.14,-0.97,-0.05,1.09
2025-12-10,000059,5.08,5.08,5.12,5.02,193387,97839788.36,1.97,0.0,0.0,1.21
2025-12-11,000059,5.09,5.03,5.1,5.03,107459,54379557.3,1.38,-0.98,-0.05,0.67
2025-12-12,000059,5.04,5.03,5.08,5.01,152525,76814784.36,1.39,0.0,0.0,0.95
2025-12-15,000059,5.04,5.05,5.08,5.02,109886,55488986.68,1.19,0.4,0.02,0.69
2025-12-16,000059,5.05,4.91,5.05,4.88,216832,106700211.2,3.37,-2.77,-0.14,1.36
2025-12-17,000059,4.94,4.94,4.95,4.82,171891,84075626.93,2.65,0.61,0.03,1.07
2025-12-18,000059,4.92,4.95,4.99,4.92,96037,47621976.67,1.42,0.2,0.01,0.6
2025-12-19,000059,4.94,4.98,4.98,4.93,105230,52170666.92,1.01,0.61,0.03,0.66
2025-12-22,000059,4.97,5.04,5.09,4.97,144160,72735017.68,2.41,1.2,0.06,0.9
2025-12-23,000059,5.05,5.02,5.06,4.99,106307,53340930.0,1.39,-0.4,-0.02,0.66
2025-12-24,000059,5.01,5.14,5.16,5.0,249863,127686901.84,3.19,2.39,0.12,1.56
2025-12-25,000059,5.15,5.14,5.22,5.13,227370,117729433.04,1.75,0.0,0.0,1.42
2025-12-26,000059,5.17,5.16,5.19,5.1,210190,108072102.23,1.75,0.39,0.02,1.31
