code,name,bs_code,concepts
600038,中直股份,sh.600038,通用航空;飞机制造;航天军工;增持回购;低空经济;航母产业;央企改革;无人机;东北振兴;飞行汽车;黑龙江自贸区;航空工业集团;军民融合;基金重仓;大飞机;中盘
600039,四川路桥,sh.600039,国资改革;太阳能（光伏）;西部开发;成渝城市群;增持回购;中特估;建筑建材;锂电池;碳中和;磷酸铁锂;一带一路;大盘;磷化工
600048,保利发展,sh.600048,破净股;低价;养老产业;长期破净;央企改革;证金汇金;REITs概念;MSCI中国;房屋租赁;房地产;基金重仓;大盘
600050,中国联通,sh.600050,物联网;大数据;区块链;破净股;算力概念;智能家居;低价;IDC概念（数据中心）;电子信息;中字头;边缘计算;中特估;IPV6;央企改革;DeepSeek概念;卫星互联网;云计算;国资云;5G;移动支付;MSCI中国;金融科技;分拆概念;阿里概念;一带一路;东数西算;WIFI概念;基金重仓;大盘;数据要素
600051,宁波联合,sh.600051,破净股;跨境电商;长期破净;综合行业
600052,东望时代,sh.600052,国资改革;低价;影视动漫;储能;锂电池;影视传媒;房地产;浙江国资;体育产业
600053,九鼎投资,sh.600053,参股新三板;跨境电商;传感器;创投;人形机器人;移动支付;房地产;机器人概念
600054,黄山旅游,sh.600054,国资改革;酒店旅游;券商相关;DeepSeek概念;旅游酒店;QFII持股;在线旅游;安徽国资;基金重仓
600055,万东医疗,sh.600055,大数据;互联医疗;增持回购;智慧医疗;DeepSeek概念;医疗器械;阿里概念;AI应用（医药医疗）;一带一路;基金重仓;中盘
600056,中国医药,sh.600056,国资改革;血液制品;中字头;猴痘概念;商业百货;生物医药;央企改革;证金汇金;东北振兴;中药;医疗器械;创新药;仿制药;医药电商;中盘
600057,厦门象屿,sh.600057,国资改革;福建国资;破净股;土地流转;低市盈率;增持回购;快递概念;福建自贸区;冷链物流;园区开发;智慧农业（数字乡村）;社保重仓;一带一路;中盘;数据要素;乡村振兴;交通运输;智慧物流
600058,五矿发展,sh.600058,国资改革;新材料;小金属;央企改革;电子商务;物资外贸;中盘
600059,古越龙山,sh.600059,国资改革;参股新三板;增持回购;跨境电商;社保重仓;浙江国资;基金重仓;白酒
600060,海信视像,sh.600060,智能穿戴;智能家居;元宇宙概念;百度概念;超高清;AI模型;OLED;QLED;世界杯;虚拟现实;DeepSeek概念;AI应用（智能体）;社保重仓;分拆概念;芯片概念;LED;家用电器;青岛;中盘;机器人概念;家电行业
600061,国投资本,sh.600061,国资改革;破净股;信托概念;参股基金;增持回购;央企改革;证金汇金;雄安新区;期货概念;MSCI中国;化纤行业;基金重仓;中盘;长三角一体化
600062,华润双鹤,sh.600062,熊去氧胆酸;肝素;低市盈率;生物医药;合成生物;央企改革;生物制药;DeepSeek概念;中药;高血压防治;NMN概念;MSCI中国;AI应用（医药医疗）;创新药;仿制药;基金重仓;中盘
600063,皖维高新,sh.600063,国资改革;信托概念;新材料;券商相关;光学;可降解;社保重仓;化纤行业;水泥;安徽国资;偏光片;中盘
